Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20170801;1;17000;16362,513
20170801;2;16400;15851,625
20170801;3;16000;15482,663
20170801;4;15900;15441,363
20170801;5;15800;15451,963
20170801;6;16300;15398,450
20170801;7;19000;17315,575
20170801;8;20700;19526,825
20170801;9;21700;20958,575
20170801;10;22000;21789,988
20170801;11;22400;22105,738
20170801;12;22500;22619,063
20170801;13;22700;22842,813
20170801;14;22800;22897,150
20170801;15;22300;22390,838
20170801;16;22000;22155,350
20170801;17;21500;21786,438
20170801;18;21200;21485,675
20170801;19;21000;21130,313
20170801;20;21100;21142,663
20170801;21;21600;21388,338
20170801;22;21500;21406,613
20170801;23;19900;19895,463
20170801;24;18300;18137,813
20170802;1;16800;16942,325
20170802;2;16150;16183,600
20170802;3;15750;15849,838
20170802;4;15650;15796,475
20170802;5;15600;15680,113
20170802;6;16300;15724,113
20170802;7;19000;17599,850
20170802;8;20650;19632,113
20170802;9;21650;21182,363
20170802;10;21950;21821,075
20170802;11;22350;22041,800
20170802;12;22550;22521,988
20170802;13;22750;22629,675
20170802;14;22850;22522,538
20170802;15;22350;22057,375
20170802;16;22050;21812,688
20170802;17;21550;21359,225
20170802;18;21150;20975,375
20170802;19;20850;20604,350
20170802;20;20950;20636,763
20170802;21;21750;20861,413
20170802;22;21500;20922,725
20170802;23;19850;19428,675
20170802;24;18250;17954,550
20170803;1;16750;16705,688
20170803;2;16100;16083,788
20170803;3;15650;15703,625
20170803;4;15600;15624,275
20170803;5;15550;15521,388
20170803;6;16150;15553,150
20170803;7;18800;17601,300
20170803;8;20450;19617,888
20170803;9;21450;21013,100
20170803;10;21900;21944,375
20170803;11;22400;22166,150
20170803;12;22600;22630,750
20170803;13;22650;22763,013
20170803;14;22800;22656,388
20170803;15;22200;22226,050
20170803;16;21850;21985,775
20170803;17;21350;21511,588
20170803;18;20950;21125,113
20170803;19;20800;20652,350
20170803;20;20950;20650,238
20170803;21;21650;20906,938
20170803;22;21400;20810,788
20170803;23;19650;19306,563
20170803;24;17900;17862,850
20170804;1;16700;16676,613
20170804;2;16100;16087,725
20170804;3;15700;15725,438
20170804;4;15700;15612,838
20170804;5;15600;15518,763
20170804;6;16000;15492,638
20170804;7;18600;17519,325
20170804;8;20400;19534,550
20170804;9;21550;20922,900
20170804;10;21950;21566,325
20170804;11;22550;21726,450
20170804;12;22700;22162,750
20170804;13;22800;22275,550
20170804;14;22950;22276,000
20170804;15;22300;21702,138
20170804;16;21800;21337,988
20170804;17;21450;20978,013
20170804;18;20950;20607,163
20170804;19;20800;20254,013
20170804;20;20900;20143,438
20170804;21;21450;20340,988
20170804;22;21250;20361,925
20170804;23;19350;18964,613
20170804;24;17700;17683,863
20170805;1;16500;16300,163
20170805;2;15800;15543,963
20170805;3;15250;15133,238
